radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,222,10,11070,11001690,311,7.3118790,45.1083020,0,1,1,1593818639,1593818639,
UMTS,222,10,11070,26608573,97,7.3118790,45.1083020,0,1,1,1593818639,1593818639,
UMTS,222,10,11070,26612287,337,7.6557815,45.2419383,81,4,1,1591727951,1594310879,
UMTS,222,10,11070,26616403,441,7.6569190,45.2641200,0,1,1,1592677222,1592677222,
UMTS,222,10,11070,26645229,307,7.8138640,45.2617910,0,1,1,1594147986,1594147986,
UMTS,222,10,11071,12337719,190,8.6470836,45.8600684,36,3,1,1583501322,1583501322,
UMTS,222,10,11071,12340616,86,8.4100572,45.7937479,3269,4,1,1532108853,1595748545,
UMTS,222,10,11071,12342851,34,8.2603590,45.6878630,0,1,1,1582095362,1582095362,
UMTS,222,10,11071,12345416,59,8.5976898,45.8930745,714,2,1,1593174519,1593174519,
UMTS,222,10,11071,26237477,311,8.6513490,45.8586930,0,1,1,1591360128,1591360128,
UMTS,222,10,11071,26237978,156,8.6507518,45.8596311,41,2,1,1591360128,1593174530,
UMTS,222,10,11076,26483932,89,7.7597130,44.7166250,0,1,1,1594147995,1594147995,
UMTS,222,10,11076,26511533,166,7.4495876,44.2978111,26,2,1,1592374414,1592374414,
UMTS,222,10,11076,26525292,444,7.4337674,44.2900366,23,2,1,1592374400,1592374400,
UMTS,222,10,11076,26525472,40,7.5815670,44.3974480,0,1,1,1582292419,1582292419,
UMTS,222,10,11083,10158258,12,7.8735536,44.0669960,1711,3,1,1592436561,1592436570,
UMTS,222,10,11083,10177837,229,7.5630300,43.7990800,0,1,1,1597010169,1597010169,
UMTS,222,10,11083,10213409,103,7.5231693,43.7900990,191,3,1,1597010169,1597010169,
UMTS,222,10,11086,26831511,160,9.0685639,44.3889421,0,1,1,1602533708,1602533708,
UMTS,222,10,11088,9572979,263,9.7243077,44.1234170,34,2,1,1592244915,1592244915,
UMTS,222,10,11088,11739361,250,9.7481290,44.0940375,23,2,1,1592986456,1592986456,
UMTS,222,10,11088,11751032,133,9.7087860,44.1196114,2602,3,1,1602533642,1602533642,
UMTS,222,10,11088,11789442,130,9.7591542,44.1011734,3356,2,1,1602533642,1602533642,
UMTS,222,10,11088,26740496,3,9.7233897,44.1225545,92,6,1,1592244915,1592244915,
UMTS,222,10,11092,26859915,201,8.8119843,44.4247592,16,2,1,1583657492,1583657492,
UMTS,222,10,11098,26755526,201,8.3605510,44.2261820,0,1,1,1596734035,1596734035,
UMTS,222,10,11098,26770849,327,8.9799060,44.1696990,0,1,1,1594677313,1594677313,
UMTS,222,10,12000,7364639,,9.1328317,45.4615145,380,208,1,1569047660,1583507147,
UMTS,222,10,12000,7442445,,9.1316309,45.5093594,80,2,1,1589675984,1589718134,
UMTS,222,10,12000,7466527,,9.1384467,45.4697994,0,2,1,1611444313,1611444313,
UMTS,222,10,12000,7466785,,9.1383233,45.4698308,5,7,1,1610223272,1610826411,
UMTS,222,10,12000,7466795,,9.1382595,45.4698555,0,2,1,1610410589,1610410589,
UMTS,222,10,12008,7377195,,8.8444619,45.8150934,0,1,1,1604622036,1604622036,
UMTS,222,10,12008,7590923,,8.8444619,45.8150934,0,1,1,1604618782,1604618782,
UMTS,222,10,12008,7590943,,8.8444619,45.8150934,0,6,1,1598976755,1599038381,
